,claim
0,Global warming is driving polar bears toward extinction
1,"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists"
2,The polar bear population has been growing.
3,Ironic' study finds more CO2 has slightly cooled the planet
4,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.
5,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.
6,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded
7,it’s not a pollutant that threatens human civilization.
8,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants."
9,"Sea level rise has been slow and a constant, pre-dating industrialization"
10,Earth about to enter 30-YEAR ‘Mini Ice Age’
11,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming"
12,"the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'"
13,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory
14,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate
15,"Ice berg melts, ocean level remains the same."
16,When the exact same group of 'experts' who claimed it was global cooling in 1977 now claim it's global warming you can easily see why I am skeptical
17,Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.
18,More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations
19,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.
20,"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one."
21,"CO2 does not cause climate change, it RESPONDS to it [...]"
22,"[T]he raw data, the actual thermometer data[...] shows that the US has been cooling for 80 to 90 years."
23,"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D."
24,"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases"
25,[NASA] has been adjusting temperatures from the past[...]
26,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.
27,Fifty-five thousand years ago the whole world was 2°C warmer than it is today[...]
28,Sea level rise is not going to happen.
29,"Cold weather to grip world as solar minimum to deepen, NASA says"
30,"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]"
31,The models predicted about three times the amount of warming in the world we’ve seen since [1988].
32,"The science is clear, climate change is making extreme weather events, including tornadoes, worse."
33,Burping cows are more damaging to the climate than all the cars on this planet.
34,[S]unspot activity on the surface of our star has dropped to a new low.
35,The rate of warming according to the data is much slower than the models used by the IPCC
36,The ­atmospheric residency time of carbon dioxide is five years
